id,actorid_id,movieid_id
23175,nm0322407,tt1599348
23176,nm0001731,tt1599348
23192,nm0000658,tt1230414
23193,nm0000188,tt1230414
23194,nm0000285,tt1230414
23195,nm1024677,tt1230414
23196,nm1128572,tt1230414
23207,nm0940362,tt1840309
23208,nm3772243,tt1840309
23209,nm0000171,tt1840309
23210,nm2541974,tt1840309
23211,nm0829032,tt1840309
23235,nm0564215,tt1430607
23236,nm0491402,tt1430607
23237,nm0631490,tt1430607
23238,nm0000980,tt1430607
23239,nm0001767,tt1430607
23255,nm0000210,tt1667353
23256,nm2934314,tt1667353
23257,nm2309517,tt1667353
23258,nm0001447,tt1667353
23259,nm0696015,tt1667353
23279,nm0881631,tt1343727
23280,nm2271261,tt1343727
23290,nm0005188,tt1287468
23291,nm0000560,tt1287468
23292,nm0000775,tt1287468
23293,nm1139343,tt1287468
23294,nm0000541,tt1287468
23320,nm0000230,tt1320253
23321,nm0005458,tt1320253
23322,nm0001472,tt1320253
23323,nm0000185,tt1320253
23324,nm0000616,tt1320253
23330,nm0001804,tt1392170
23331,nm0004747,tt1392170
23332,nm2225369,tt1392170
23333,nm3094377,tt1392170
23334,nm2955013,tt1392170
23335,nm0177896,tt1411697
23336,nm1159180,tt1411697
23337,nm0302108,tt1411697
23338,nm0058581,tt1411697
23339,nm0421822,tt1411697
23360,nm0000246,tt1821694
23361,nm0000518,tt1821694
23362,nm0000571,tt1821694
23363,nm0000545,tt1821694
23364,nm0000164,tt1821694
23370,nm0005134,tt1615918
23371,nm0189144,tt1615918
23372,nm2809577,tt1615918
23373,nm0519043,tt1615918
23374,nm1131557,tt1615918
23375,nm0001191,tt2191701
23376,nm0416673,tt2191701
23377,nm0001674,tt2191701
23378,nm0005450,tt2191701
23379,nm0000161,tt2191701
23390,nm0000138,tt1130884
23391,nm0749263,tt1130884
23392,nm0001426,tt1130884
23393,nm0001884,tt1130884
23394,nm0931329,tt1130884
23419,nm0001191,tt1564367
23420,nm0000098,tt1564367
23421,nm0000173,tt1564367
23422,nm0841910,tt1564367
