"movieid","title"
"tt0120633","A Civil Action"
"tt1623288","ParaNorman"
"tt0119395","The Jackal"
"tt0338337","Paycheck"
"tt0420238","The Tale of Despereaux"
"tt0790772","Rules of Engagement"
"tt0114781","Under Siege 2: Dark Territory"
"tt1205537","Jack Ryan: Shadow Recruit"
"tt2446980","Joy"
"tt3300542","London Has Fallen"
"tt0118583","Alien: Resurrection"
"tt0822854","Shooter"
"tt0787474","The Boxtrolls"
"tt0120791","Practical Magic"
"tt1490017","The Lego Movie"
"tt0385307","Miss Congeniality 2: Armed & Fabulous"
"tt0253556","Reign of Fire"
"tt1321870","Gangster Squad"
"tt1045778","Year One"
"tt1057500","Invictus"
"tt0473705","State of Play"
"tt1135487","Duplicity"
"tt0443632","The Sentinel"
"tt0762125","Planet 51"
"tt0253754","Star Trek: Nemesis"
"tt0138524","Intolerable Cruelty"
"tt2083383","Trouble with the Curve"
"tt1226273","Edge of Darkness"
"tt0120004","The Relic"
"tt0289848","Analyze That"
"tt1034331","Righteous Kill"
"tt0821642","The Soloist"
"tt0146984","The Legend of Bagger Vance"
"tt0181875","Almost Famous"
"tt0455499","Garfield: A Tale of Two Kitties"
"tt0329774","xXx: State of the Union"
"tt0822847","Priest"
"tt0165982","Sinbad: Legend of the Seven Seas"
"tt0119081","Event Horizon"
"tt0454824","Flyboys"
"tt0272020","The Last Castle"
"tt1837709","Winter's Tale"
"tt1538403","The Mortal Instruments: City of Bones"
"tt0765476","Meet Dave"
"tt0382628","Dark Water"
"tt0494238","Inkheart"
"tt0831887","The Spirit"
"tt3045616","Mortdecai"
"tt0460780","In the Name of the King: A Dungeon Siege Tale"
"tt0294357","Beyond Borders"
"tt4591310","Xi you ji zhi: Sun Wukong san da Baigu Jing"
"tt0326905","The Great Raid"
"tt1431045","Deadpool"
"tt2179136","American Sniper"
"tt1051904","Goosebumps"
"tt0115341","Sabrina the Teenage Witch"
"tt0425123","Just Like Heaven"
"tt0158622","The Flintstones in Viva Rock Vegas"
"tt0095956","Rambo III"
"tt0379865","Leatherheads"
"tt2479478","The Ridiculous 6"
"tt1314228","Did You Hear About the Morgans?"
"tt2234155","The Internship"
"tt1220634","Resident Evil: Afterlife"
"tt0485985","Red Tails"
"tt0159206","Sex and the City"
"tt0118971","The Devil's Advocate"
"tt1232200","That's My Boy"
"tt0116136","DragonHeart"
"tt0367479","After the Sunset"
"tt1071875","Ghost Rider: Spirit of Vengeance"
"tt0238112","Captain Corelli's Mandolin"
"tt0395699","The Pacifier"
"tt0351977","Walking Tall"
"tt0109830","Forrest Gump"
"tt0952640","Alvin and the Chipmunks"
"tt0212338","Meet the Parents"
"tt0114148","Pocahontas"
"tt0078346","Superman"
"tt0117218","The Nutty Professor"
"tt0386588","Hitch"
"tt0328828","American Wedding"
"tt1535109","Captain Phillips"
"tt1279935","Date Night"
"tt0112642","Casper"
"tt0455944","The Equalizer"
"tt0252076","Maid in Manhattan"
"tt0112740","Crimson Tide"
"tt0454921","The Pursuit of Happyness"
"tt0408790","Flightplan"
"tt0109635","Disclosure"
"tt0120632","City of Angels"
"tt0266697","Kill Bill: Vol. 1"
"tt0131325","Bowfinger"
"tt0118480","Stargate SG-1"
"tt0378194","Kill Bill: Vol. 2"
"tt0098439","Tango & Cash"
"tt0104070","Death Becomes Her"
"tt0116253","Executive Decision"
"tt1396218","Mr. Popper's Penguins"
"tt0865556","The Forbidden Kingdom"
"tt1621039","Free Birds"
"tt0103644","Alien³"
"tt0116250","Evita"
"tt0122690","Ronin"
"tt0116409","The Ghost and the Darkness"
"tt1109624","Paddington"
"tt1298649","The Watch"
"tt0269347","The Hunted"
"tt0338466","Stuck on You"
